,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cockburn town,21.4612,-71.1419,82.4,61,40,17.27,TC,1619716336
1,quepos,9.4236,-84.1652,75.2,73,75,5.75,CR,1619716402
2,nanortalik,60.1432,-45.2371,38.7,78,16,5.77,GL,1619716294
3,codrington,-38.2667,141.9667,53.24,91,22,5.5,AU,1619716402
4,eisiskes,54.1667,25.0,55.99,47,0,5.75,LT,1619716403
5,mataura,-46.1927,168.8643,53.01,95,100,11.99,NZ,1619715832
6,hobyo,5.3505,48.5268,85.46,68,81,13.31,SO,1619716403
7,saskylakh,71.9167,114.0833,32.68,89,100,14.43,RU,1619715846
8,butaritari,3.0707,172.7902,83.08,76,100,15.59,KI,1619715878
9,garowe,8.4054,48.4845,83.57,56,79,17.45,SO,1619716404
10,chuy,-33.6971,-53.4616,70.81,44,0,4.52,UY,1619715847
11,klaksvik,62.2266,-6.589,39.2,60,75,14.97,FO,1619716019
12,taft,31.7471,54.2088,82.4,18,75,2.3,IR,1619716405
13,dumas,35.8656,-101.9732,68.0,32,1,18.41,US,1619716405
14,albany,42.6001,-73.9662,57.0,90,100,1.57,US,1619716133
15,ilulissat,69.2167,-51.1,42.8,49,75,4.61,GL,1619716406
16,grindavik,63.8424,-22.4338,42.8,70,75,5.75,IS,1619716406
17,cape town,-33.9258,18.4232,62.01,59,20,17.27,ZA,1619716142
18,vinh,18.6667,105.6667,67.57,89,100,1.9,VN,1619716407
19,geraldton,-28.7667,114.6,69.8,83,75,17.27,AU,1619716407
20,hobart,-42.8794,147.3294,54.0,94,90,1.43,AU,1619716322
21,belaya gora,68.5333,146.4167,13.95,92,71,1.92,RU,1619716408
22,kavieng,-2.5744,150.7967,82.72,73,37,6.42,PG,1619716408
23,cidreira,-30.1811,-50.2056,70.43,56,0,7.31,BR,1619716409
24,waddan,29.1614,16.139,98.92,6,86,7.38,LY,1619716409
25,san cristobal,7.7669,-72.225,75.2,100,75,6.91,VE,1619716410
26,qaanaaq,77.484,-69.3632,24.85,72,35,8.9,GL,1619716410
27,nemuro,43.3236,145.575,37.96,98,100,18.12,JP,1619716411
28,jumla,29.2747,82.1838,50.32,86,93,4.38,NP,1619716411
29,beloha,-25.1667,45.05,74.37,76,1,9.71,MG,1619716412
30,castro,-24.7911,-50.0119,68.4,46,2,7.36,BR,1619716413
31,mount gambier,-37.8333,140.7667,46.4,100,90,3.87,AU,1619716414
32,hilo,19.7297,-155.09,73.4,83,90,10.36,US,1619716274
33,san andres,12.5847,-81.7006,86.0,66,40,9.22,CO,1619716414
34,puerto escondido,15.85,-97.0667,86.0,74,75,4.61,MX,1619716415
35,mujiayingzi,42.1167,118.7833,37.99,24,4,4.92,CN,1619716415
36,rikitea,-23.1203,-134.9692,75.74,69,94,9.24,PF,1619716415
37,touros,-5.1989,-35.4608,86.0,66,75,14.97,BR,1619716416
38,scottsbluff,41.8666,-103.6672,66.0,34,1,8.32,US,1619716396
39,hithadhoo,-0.6,73.0833,84.06,69,36,8.3,MV,1619716285
40,morant bay,17.8815,-76.4093,86.0,70,20,19.57,JM,1619716339
41,jamestown,42.097,-79.2353,61.0,100,90,9.22,US,1619716215
42,namibe,-15.1961,12.1522,76.62,69,55,14.94,AO,1619716417
43,dikson,73.5069,80.5464,0.28,99,39,5.55,RU,1619716418
44,manado,1.487,124.8455,77.27,89,90,2.57,ID,1619716418
45,upernavik,72.7868,-56.1549,32.97,66,39,2.82,GL,1619716419
46,bluff,-46.6,168.3333,53.01,95,100,11.99,NZ,1619716420
47,yulara,-25.2406,130.9889,51.8,46,44,4.61,AU,1619716420
48,saint george,37.1041,-113.5841,72.0,24,0,1.5,US,1619716301
49,atuona,-9.8,-139.0333,78.71,74,22,7.78,PF,1619716277
50,tazovskiy,67.4667,78.7,29.46,93,100,5.99,RU,1619716421
51,east london,-33.0153,27.9116,60.8,94,20,10.36,ZA,1619716421
52,punta arenas,-53.15,-70.9167,42.8,70,0,4.61,CL,1619716422
53,meulaboh,4.1363,96.1285,78.03,87,99,4.56,ID,1619716423
54,port alfred,-33.5906,26.891,65.43,74,99,15.12,ZA,1619716275
55,tagab,34.855,69.6492,64.4,36,0,4.61,AF,1619716424
56,candolim,15.5181,73.7626,84.2,61,20,10.36,IN,1619716424
57,ushuaia,-54.8,-68.3,42.8,56,20,6.91,AR,1619716424
58,bethel,41.3712,-73.414,69.8,73,75,6.91,US,1619716425
59,porto novo,6.4965,2.6036,86.0,74,40,10.36,BJ,1619716425
60,tasiilaq,65.6145,-37.6368,33.8,86,75,2.3,GL,1619716426
61,shimoda,34.6667,138.95,63.0,86,100,1.99,JP,1619716426
62,carnarvon,-24.8667,113.6333,71.6,94,18,11.5,AU,1619716427
63,durban,-29.8579,31.0292,72.0,78,90,9.22,ZA,1619716427
64,bengkulu,-3.8004,102.2655,76.5,90,88,3.36,ID,1619716428
65,paracuru,-3.41,-39.0306,82.99,72,98,15.01,BR,1619716428
66,half moon bay,37.4636,-122.4286,66.99,72,40,5.75,US,1619716405
67,hermanus,-34.4187,19.2345,57.99,76,83,8.19,ZA,1619716325
68,pandan,14.0453,124.1694,74.01,84,94,3.02,PH,1619716429
69,rocha,-34.4833,-54.3333,72.95,45,1,3.89,UY,1619716429
70,omboue,-1.5746,9.2618,81.46,79,45,5.91,GA,1619716430
71,kavaratti,10.5669,72.642,85.23,71,36,5.95,IN,1619716431
72,vaini,-21.2,-175.2,77.0,94,90,5.75,TO,1619716433
73,neuquen,-38.9516,-68.0591,68.0,60,0,4.61,AR,1619716376
74,narsaq,60.9167,-46.05,41.0,70,75,5.75,GL,1619716435
75,walvis bay,-22.9575,14.5053,62.6,63,2,12.66,NA,1619716435
76,abeche,13.8292,20.8324,93.58,8,6,7.52,TD,1619716436
77,progreso,21.2833,-89.6667,93.99,38,75,16.11,MX,1619716437
78,anito,12.4497,125.2886,74.57,86,100,0.6,PH,1619716437
79,novobirilyussy,56.9514,90.6661,41.38,84,99,7.72,RU,1619716437
80,khatanga,71.9667,102.5,30.27,91,100,12.26,RU,1619716438
81,tiarei,-17.5333,-149.3333,75.2,83,20,4.61,PF,1619716439
82,georgetown,5.4112,100.3354,78.8,94,40,3.44,MY,1619716316
